antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'22384'}),frozenset({'20728'}),0.0562474889513861,0.05614704700683005,0.027119325030132584,0.48214285714285715,8.587145412726809,1.0,0.023961194623962956,1.8226125988833628,0.9362061081941883,0.31802120141342755,0.45133705285881515,0.4825741119345771
frozenset({'20728'}),frozenset({'22384'}),0.05614704700683005,0.0562474889513861,0.027119325030132584,0.483005366726297,8.587145412726809,1.0,0.023961194623962956,1.825459009260122,0.9361064800034684,0.31802120141342755,0.4521925746197332,0.4825741119345771
frozenset({'21212'}),frozenset({'21977'}),0.06478505423865007,0.0413820811570912,0.021394134190437928,0.3302325581395349,7.980085798148567,1.0,0.018713193818167554,1.4312698093835097,0.9352802455372338,0.25236966824644547,0.3013197138345777,0.4236114247008354
frozenset({'21977'}),frozenset({'21212'}),0.0413820811570912,0.06478505423865007,0.021394134190437928,0.5169902912621359,7.980085798148566,1.0,0.018713193818167554,1.936223907807418,0.9124470207666788,0.25236966824644547,0.48353080655201647,0.4236114247008354
frozenset({'21212'}),frozenset({'84991'}),0.06478505423865007,0.04118119726797911,0.02159501807955002,0.3333333333333333,8.09430894308943,1.0,0.018927091980931447,1.4382282040980312,0.937171087960477,0.255952380952381,0.3047000488860954,0.42886178861788615
frozenset({'84991'}),frozenset({'21212'}),0.04118119726797911,0.06478505423865007,0.02159501807955002,0.524390243902439,8.09430894308943,1.0,0.018927091980931447,1.9663493731392485,0.9141001466582863,0.255952380952381,0.49144337539390864,0.42886178861788615
frozenset({'85123A'}),frozenset({'21733'}),0.12746082764162314,0.037967055042185616,0.025311370028123746,0.19858156028368795,5.23036511688994,1.0,0.020472057769331704,1.2004127897261225,0.9269598250259008,0.1806451612903226,0.1669532276241801,0.4326241134751774
frozenset({'21733'}),frozenset({'85123A'}),0.037967055042185616,0.12746082764162314,0.025311370028123746,0.6666666666666667,5.23036511688994,1.0,0.020472057769331704,2.6176175170751312,0.8407287533931926,0.1806451612903226,0.6179732166839339,0.4326241134751774
frozenset({'21929'}),frozenset({'85099B'}),0.035054238650060264,0.08547609481719566,0.020188830855765366,0.5759312320916905,6.7379216765039605,1.0,0.017192531429168212,2.1565462358702616,0.8825224351853723,0.2012012012012012,0.5362955899730775,0.40606197327263727
frozenset({'85099B'}),frozenset({'21929'}),0.08547609481719566,0.035054238650060264,0.020188830855765366,0.236192714453584,6.737921676503961,1.0,0.017192531429168212,1.263336681398152,0.9311799049781297,0.2012012012012012,0.20844536953262022,0.40606197327263727
frozenset({'85099B'}),frozenset({'21931'}),0.08547609481719566,0.04449578143832865,0.023905182804339092,0.2796709753231492,6.285336863018676,1.0,0.0201018571711513,1.326483017937981,0.9194943216166203,0.22537878787878787,0.24612679809915625,0.4084585124922744
frozenset({'21931'}),frozenset({'85099B'}),0.04449578143832865,0.08547609481719566,0.023905182804339092,0.5372460496613995,6.285336863018677,1.0,0.0201018571711513,1.976263853638938,0.8800584251360588,0.22537878787878787,0.4939946919746177,0.4084585124922744
frozenset({'22383'}),frozenset({'22382'}),0.060767376456408194,0.0532342306147047,0.02460827641623142,0.40495867768595045,7.607110556681741,1.0,0.02137337188410041,1.591092473550288,0.9247379413748175,0.2752808988764045,0.37150101793351603,0.43361141431467337
frozenset({'22382'}),frozenset({'22383'}),0.0532342306147047,0.060767376456408194,0.02460827641623142,0.4622641509433963,7.607110556681741,1.0,0.02137337188410041,1.7466431244845744,0.9173800646929683,0.2752808988764045,0.42747319931477423,0.43361141431467337
frozenset({'22384'}),frozenset({'22382'}),0.0562474889513861,0.0532342306147047,0.02159501807955002,0.3839285714285714,7.212061994609164,1.0,0.018600726281213877,1.5367792198717836,0.912679319255101,0.24571428571428575,0.3492884423024461,0.394794474393531
frozenset({'22382'}),frozenset({'22384'}),0.0532342306147047,0.0562474889513861,0.02159501807955002,0.4056603773584906,7.212061994609164,1.0,0.018600726281213877,1.5879010503357631,0.9097745473924177,0.24571428571428575,0.37023783705631463,0.394794474393531
frozenset({'22382'}),frozenset({'22662'}),0.0532342306147047,0.035154680594616315,0.020088388911209322,0.37735849056603776,10.73423180592992,1.0,0.018216956537249234,1.5496000584389495,0.9578294080203692,0.2941176470588235,0.3546721978009028,0.4743935309973046
frozenset({'22662'}),frozenset({'22382'}),0.035154680594616315,0.0532342306147047,0.020088388911209322,0.5714285714285714,10.73423180592992,1.0,0.018216956537249234,2.2091201285656887,0.9398813241723925,0.2941176470588235,0.5473310902973538,0.4743935309973046
frozenset({'22383'}),frozenset({'22384'}),0.060767376456408194,0.0562474889513861,0.023905182804339092,0.3933884297520661,6.993884297520661,1.0,0.02048717046850255,1.555777300230004,0.9124661093182861,0.25674217907227614,0.35723448346227865,0.409194214876033
frozenset({'22384'}),frozenset({'22383'}),0.0562474889513861,0.060767376456408194,0.023905182804339092,0.425,6.993884297520661,1.0,0.02048717046850255,1.6334480409453773,0.9080960609020109,0.25674217907227614,0.38779809646027164,0.409194214876033
frozenset({'22386'}),frozenset({'85099B'}),0.04931699477701888,0.08547609481719566,0.031137002812374446,0.6313645621181262,7.386446040479512,1.0,0.026921578690714838,2.480835565993132,0.9094691818755006,0.3003875968992248,0.5969100033441037,0.497820941458593
frozenset({'85099B'}),frozenset({'22386'}),0.08547609481719566,0.04931699477701888,0.031137002812374446,0.3642773207990599,7.386446040479512,1.0,0.026921578690714838,1.4954366681049112,0.9454284246514677,0.3003875968992248,0.33129899692292025,0.497820941458593
frozenset({'22411'}),frozenset({'85099B'}),0.042788268380875856,0.08547609481719566,0.022298111691442347,0.5211267605633803,6.096754439681567,1.0,0.018640737606254988,1.9097410961170325,0.8733473242392445,0.21042654028436017,0.4763688114408582,0.3909981628903858
frozenset({'85099B'}),frozenset({'22411'}),0.08547609481719566,0.042788268380875856,0.022298111691442347,0.2608695652173913,6.096754439681567,1.0,0.018640737606254988,1.2950511663082267,0.9141131246567821,0.21042654028436017,0.22782973675806378,0.3909981628903858
frozenset({'22697'}),frozenset({'22423'}),0.043290478103656084,0.1092808356769787,0.023804740859783045,0.5498839907192575,5.031842841544971,1.0,0.01907392123575956,1.9788657722846505,0.8375223983078064,0.1848673946957878,0.4946600148399783,0.3838574365360994
frozenset({'22423'}),frozenset({'22697'}),0.1092808356769787,0.043290478103656084,0.023804740859783045,0.21783088235294118,5.031842841544971,1.0,0.01907392123575956,1.2231491889814596,0.8995715881689057,0.1848673946957878,0.18243824301374093,0.3838574365360994
frozenset({'22699'}),frozenset({'22423'}),0.04911611088790679,0.1092808356769787,0.026717557251908396,0.5439672801635992,4.977700589438229,1.0,0.02135010760887479,1.953191351363038,0.8403802365319659,0.2028985507246377,0.4880173930208382,0.39422628714062313
frozenset({'22423'}),frozenset({'22699'}),0.1092808356769787,0.04911611088790679,0.026717557251908396,0.24448529411764705,4.977700589438229,1.0,0.02135010760887479,1.2585908410632085,0.8971447563428192,0.2028985507246377,0.20546060929917545,0.39422628714062313
frozenset({'22469'}),frozenset({'22470'}),0.056649256729610284,0.04610285255122539,0.027320208919244676,0.48226950354609927,10.460730233779879,1.0,0.02470851658910294,1.842458873839414,0.958714863713799,0.36218375499334227,0.4572470440460108,0.5374310480693459
frozenset({'22470'}),frozenset({'22469'}),0.04610285255122539,0.056649256729610284,0.027320208919244676,0.5925925925925926,10.460730233779879,1.0,0.02470851658910294,2.315497278936411,0.9481151942718753,0.36218375499334227,0.5681273266452141,0.5374310480693459
frozenset({'22629'}),frozenset({'22630'}),0.04007633587786259,0.034752912816392124,0.023905182804339092,0.5964912280701755,17.163776493256265,1.0,0.022512413397575287,2.3921340856289417,0.9810548473862707,0.4694280078895463,0.5819632327436699,0.6421762498732381
frozenset({'22630'}),frozenset({'22629'}),0.034752912816392124,0.04007633587786259,0.023905182804339092,0.6878612716763006,17.163776493256265,1.0,0.022512413397575287,3.075310998020922,0.9756442431290935,0.4694280078895463,0.6748296349073192,0.6421762498732381
frozenset({'22697'}),frozenset({'22698'}),0.043290478103656084,0.03284451586982724,0.027320208919244676,0.6310904872389791,19.21448590504977,1.0,0.025898354124156735,2.621660463271097,0.9908503165045546,0.559670781893004,0.6185623523679796,0.7314473842922724
frozenset({'22698'}),frozenset({'22697'}),0.03284451586982724,0.043290478103656084,0.027320208919244676,0.8318042813455656,19.214485905049774,1.0,0.025898354124156735,5.688072975638258,0.9801484333477914,0.559670781893004,0.8241935354410973,0.7314473842922724
frozenset({'22699'}),frozenset({'22697'}),0.04911611088790679,0.043290478103656084,0.03435114503816794,0.6993865030674847,16.155665950208533,1.0,0.032224885115238265,3.1825235116143693,0.9865581085914321,0.5916955017301039,0.6857839395842392,0.7464449916729535
frozenset({'22697'}),frozenset({'22699'}),0.043290478103656084,0.04911611088790679,0.03435114503816794,0.7935034802784223,16.155665950208533,1.0,0.032224885115238265,4.604842204576542,0.9805507206336048,0.5916955017301039,0.7828372926641991,0.7464449916729535
frozenset({'22699'}),frozenset({'22698'}),0.04911611088790679,0.03284451586982724,0.025813579750903978,0.5255623721881391,16.001525925092086,1.0,0.02420038486738193,2.0385303092226486,0.9859310593135524,0.45974955277280866,0.5094505117359137,0.6557475469503387
frozenset({'22698'}),frozenset({'22699'}),0.03284451586982724,0.04911611088790679,0.025813579750903978,0.7859327217125381,16.001525925092086,1.0,0.02420038486738193,4.441986167709348,0.9693435806959602,0.45974955277280866,0.7748754808672261,0.6557475469503387
frozenset({'22722'}),frozenset({'22720'}),0.04479710727199679,0.0663921253515468,0.020490156689433506,0.4573991031390134,6.88935774712862,1.0,0.017515981528044407,1.7206161656744219,0.8949392796024824,0.22591362126245845,0.4188128532385172,0.3830112005861481
